player,playerid,assist_player,teammate_1,teammate_2,teammate_3,teammate_4,teammate_5,opponent,block_player,opplayer_1,opplayer_2,opplayer_3,opplayer_4,opplayer_5,date,period,time,shot_clock,margin,x,y,shottype,assisted,putback,closest_def_dist,touch_time,dribble_range,value,made,blocked,and1,video_url
Donovan Mitchell,1628378,NA,1626220,1628378,201144,202711,203497,GSW,NA,1626162,1630164,201939,203110,203952,2021-01-23,1,359,15-7 Average,12,6,60,ShortMidRange,FALSE,FALSE,4-6 Feet - Open,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000242/68/6388edd1-5572-5874-5da9-be131e77a487_960x540.mp4
Donovan Mitchell,1628378,NA,1626220,1628378,202324,203903,204060,GSW,NA,1626172,201939,203110,203145,203952,2021-01-23,1,92,15-7 Average,10,-50,99,ShortMidRange,FALSE,FALSE,4-6 Feet - Open,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000242/124/442726aa-090f-4e31-0427-d171a5a47397_960x540.mp4
Mike Conley,201144,NA,1627777,201144,203497,203903,204060,GSW,NA,1626162,1627814,1629672,1629673,202954,2021-01-23,2,515,15-7 Average,10,-171,185,Arc3,FALSE,FALSE,6+ Feet - Wide Open,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000242/208/2f48455d-0d7a-d226-d80a-0ea98e368154_960x540.mp4
Donovan Mitchell,1628378,NA,1626220,1628378,202324,202711,203903,GSW,James Wiseman,1630164,201939,202954,203110,203952,2021-01-23,2,244,7-4 Late,19,44,31,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000242/285/e5b2c807-5cc7-0d4f-7fa1-c4f9c539a065_960x540.mp4
Donovan Mitchell,1628378,NA,1626220,1628378,201144,202711,203497,GSW,NA,1626162,1630164,201939,203110,203952,2021-01-23,2,103,7-4 Late,22,-110,81,ShortMidRange,NA,FALSE,2-4 Feet - Tight,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000242/329/47af3d70-00ff-bbef-cd53-bc88d8bbfbfc_960x540.mp4
Mike Conley,201144,Bojan Bogdanovic,1626220,1628378,201144,202711,203497,GSW,NA,1626162,1630164,201939,203110,203952,2021-01-23,2,29,15-7 Average,24,-116,239,Arc3,TRUE,FALSE,6+ Feet - Wide Open,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000242/342/62dfc270-2778-484d-e791-5812cc43cf3e_960x540.mp4
Bojan Bogdanovic,202711,NA,1626220,1628378,201144,202711,203497,GSW,Andrew Wiggins,1626162,1630164,201939,203110,203952,2021-01-23,3,631,15-7 Average,29,-78,106,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,2 Dribbles,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000242/360/a17eae73-7d81-2401-ebcc-b03474549fde_960x540.mp4
Bojan Bogdanovic,202711,NA,1626220,1628378,202324,202711,204060,GSW,Andrew Wiggins,1626162,1626172,201939,203110,203952,2021-01-23,3,386,15-7 Average,33,60,56,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,2 Dribbles,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000242/426/a4ab6f77-bb3a-b067-f8e9-077c8e5fbbb9_960x540.mp4
Georges Niang,1627777,NA,1627777,1627885,1628962,1629671,1629752,GSW,NA,1628539,1629672,1629673,1630164,1630185,2021-01-23,4,373,15-7 Average,29,49,117,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,2 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000242/585/9ee7a056-0355-af18-c6a4-171d201682bb_960x540.mp4
Georges Niang,1627777,NA,1627777,1627885,1628962,1629671,1629752,GSW,NA,1628539,1629672,1629673,1630164,1630185,2021-01-23,4,338,15-7 Average,29,47,101,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,2 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000242/589/0e3a93eb-d2a7-4468-999c-875c7bd313f1_960x540.mp4
Georges Niang,1627777,NA,1627777,1627885,1628962,1629671,1629752,GSW,NA,1628539,1629308,1629673,1630164,1630185,2021-01-23,4,226,15-7 Average,24,38,88,ShortMidRange,NA,FALSE,NA,Touch 2-6 Seconds,2 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000242/609/c7fbb1d1-aaab-2fa1-35f7-ef0ac2c58ccb_960x540.mp4
Mike Conley,201144,NA,201144,202711,203497,203903,204060,MIN,NA,1626156,1627823,1629006,1629675,1630162,2020-12-26,2,552,18-15 Early,-5,-171,193,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000028/218/6e82517a-885d-78b2-0e70-87aaead9cc6a_960x540.mp4
Mike Conley,201144,NA,1626220,1628378,201144,203497,204060,MIN,NA,1626156,1627736,1629633,1629675,201937,2020-12-26,2,179,18-15 Early,-8,54,251,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000028/326/4ccc60e9-bdc1-037c-d5d6-0fde9bf4d93a_960x540.mp4
Mike Conley,201144,NA,1626220,1628378,201144,202324,202711,MIN,NA,1626156,1626157,1627736,1627774,1629006,2020-12-26,3,600,7-4 Late,-12,-227,62,Corner3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000028/404/55bb7c67-c6ef-f671-3f2d-6b82c334f43f_960x540.mp4
Mike Conley,201144,NA,1626220,1628378,201144,202324,202711,MIN,NA,1626156,1626157,1627736,1629006,1630162,2020-12-26,3,433,7-4 Late,-10,-91,226,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000028/441/116ad5b6-fee5-4951-c666-486daeb44644_960x540.mp4
Jordan Clarkson,203903,NA,1628378,201144,202711,203497,203903,MIN,NA,1626157,1627736,1629006,1630162,201937,2020-12-26,4,650,15-7 Average,-9,54,43,ShortMidRange,FALSE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000028/587/4c379235-c665-5cb8-0738-1573090c9fab_960x540.mp4
Jordan Clarkson,203903,NA,1626220,1628378,202324,202711,203903,MIN,NA,1626157,1627736,1629006,1630162,201937,2020-12-26,4,570,22-18 Very Early,-9,-190,146,Arc3,FALSE,FALSE,NA,Touch 2-6 Seconds,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000028/610/c6c341ec-e3eb-f6e8-a3dd-e66cad036674_960x540.mp4
Jordan Clarkson,203903,NA,1626220,1628378,202324,202711,203903,MIN,NA,1626157,1627736,1629006,1630162,201937,2020-12-26,4,540,22-18 Very Early,-8,-35,242,Arc3,FALSE,FALSE,NA,Touch 2-6 Seconds,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000028/612/3784b16d-b611-c549-a5b9-35376597a2c3_960x540.mp4
Jordan Clarkson,203903,NA,1626220,1628378,202324,202711,203903,MIN,NA,1626156,1626157,1627736,1629006,1630162,2020-12-26,4,447,15-7 Average,-7,-29,-6,AtRim,FALSE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000028/637/6b82c94a-90da-75ed-0120-e60fc3a9286d_960x540.mp4
Donovan Mitchell,1628378,NA,1626220,1628378,202711,203497,203903,OKC,NA,1629026,1629647,1629652,1630177,201143,2020-12-28,4,368,15-7 Average,-2,200,169,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000043/545/52bfe5c4-efce-d950-d595-48f5dfa89f7e_960x540.mp4
Donovan Mitchell,1628378,NA,1626220,1628378,201144,202711,203497,OKC,NA,1628983,1629647,1629652,201143,201588,2020-12-28,4,196,15-7 Average,2,67,253,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000043/579/92951f1f-c43f-3eea-7aaa-4c584e016550_960x540.mp4
Donovan Mitchell,1628378,NA,1626220,1628378,201144,202711,203497,OKC,NA,1628983,1629647,1629652,201143,201588,2020-12-28,4,43,15-7 Average,-1,6,267,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/28/0022000043/608/16a60565-8f52-8ae7-8c66-bb15bac368d4_960x540.mp4
Donovan Mitchell,1628378,NA,1626220,1628378,201144,202711,203497,PHX,NA,101108,1626164,1628969,1629028,203109,2020-12-31,1,551,15-7 Average,3,-27,203,LongMidRange,NA,FALSE,2-4 Feet - Tight,Touch 6+ Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/31/0022000068/30/18dab4fb-4cbd-d349-ebd2-44301dd834d9_960x540.mp4
Donovan Mitchell,1628378,NA,1626220,1628378,202324,202711,204060,PHX,NA,101108,1626164,1628969,203109,203967,2020-12-31,1,391,15-7 Average,1,61,26,ShortMidRange,NA,FALSE,2-4 Feet - Tight,Touch 6+ Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/31/0022000068/64/b116761b-5c61-555f-36f1-c22ecdb40fe7_960x540.mp4
Derrick Favors,202324,Joe Ingles,1626220,1628378,202324,202711,204060,PHX,NA,1626164,1626166,1628969,203109,203967,2020-12-31,1,245,15-7 Average,-4,-5,20,AtRim,TRUE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2020/12/31/0022000068/87/3c18b091-4bf5-f547-2ec2-ee2642b4cddf_960x540.mp4
Derrick Favors,202324,NA,1626220,1628378,202324,203903,204060,PHX,NA,1626164,1626166,1628969,1629661,203967,2020-12-31,1,173,15-7 Average,-1,-40,0,ShortMidRange,FALSE,FALSE,2-4 Feet - Tight,NA,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/31/0022000068/103/9353eeb8-5b9a-c38f-f81b-a763e8186baa_960x540.mp4
Bojan Bogdanovic,202711,NA,1628378,201144,202711,203497,204060,PHX,NA,101108,1628969,1629028,1629661,203109,2020-12-31,4,542,15-7 Average,-21,-82,254,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/31/0022000068/523/8fa85ffe-558e-3a55-5db4-651c298ca0de_960x540.mp4
Bojan Bogdanovic,202711,NA,1626220,1628378,202324,202711,203903,PHX,NA,1626164,1626166,1628969,203109,203967,2020-12-31,4,400,15-7 Average,-14,-203,168,Arc3,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2020/12/31/0022000068/556/30779321-79dd-390d-4783-0822c19b7b03_960x540.mp4
Joe Ingles,204060,NA,1626220,1628378,202324,202711,204060,LAC,NA,101150,201586,201587,201976,202695,2021-01-01,1,299,15-7 Average,0,-58,256,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000077/79/c7580947-6c6d-43c9-2c3b-1f74365dbc98_960x540.mp4
Mike Conley,201144,NA,1627777,201144,203497,203903,204060,LAC,NA,101150,1627826,1628379,202331,202704,2021-01-01,1,104,18-15 Early,6,188,168,Arc3,FALSE,FALSE,NA,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000077/136/8d05246e-e7a8-6185-f6ea-ee677d87b195_960x540.mp4
Mike Conley,201144,Georges Niang,1627777,201144,203497,203903,204060,LAC,NA,101150,1627826,1628379,202331,202704,2021-01-01,1,43,18-15 Early,11,-121,246,Arc3,TRUE,FALSE,NA,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000077/149/708b1afd-9fb5-8924-cadf-1f3de5df79b8_960x540.mp4
Joe Ingles,204060,NA,1627777,201144,203497,203903,204060,LAC,NA,101150,1627826,1628379,202331,202704,2021-01-01,1,12,15-7 Average,14,203,147,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000077/154/4e451caf-1780-dd7c-706d-4666fc7c6909_960x540.mp4
Mike Conley,201144,NA,1626220,1628378,201144,202711,203497,LAC,NA,101150,201586,201587,202331,202695,2021-01-01,3,565,15-7 Average,12,-120,218,Arc3,FALSE,FALSE,6+ Feet - Wide Open,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000077/362/541539e7-1489-1299-a247-66e35b8a35f2_960x540.mp4
Mike Conley,201144,Royce O'Neale,1626220,1628378,201144,202324,202711,LAC,NA,101150,201586,201587,202331,202695,2021-01-01,3,398,15-7 Average,17,230,-6,Corner3,TRUE,FALSE,6+ Feet - Wide Open,NA,NA,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000077/393/02e363d3-5c3e-f667-fa7b-af5722646921_960x540.mp4
Joe Ingles,204060,Rudy Gobert,201144,202711,203497,203903,204060,LAC,NA,101150,1627826,1628379,1629611,202331,2021-01-01,4,643,15-7 Average,17,-19,3,AtRim,TRUE,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000077/499/f1e977aa-72a0-e499-916d-71b0c9b96194_960x540.mp4
Joe Ingles,204060,Mike Conley,1626220,201144,203497,203903,204060,LAC,NA,101150,1627826,1628379,1629611,202331,2021-01-01,4,554,15-7 Average,13,19,103,ShortMidRange,TRUE,FALSE,2-4 Feet - Tight,Touch 2-6 Seconds,NA,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000077/516/ad999520-1011-91b7-7749-c06ddd909984_960x540.mp4
Rudy Gobert,203497,Mike Conley,1626220,201144,203497,203903,204060,LAC,NA,101150,1627826,1628379,1629611,202331,2021-01-01,4,531,15-7 Average,13,-2,13,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000077/519/4026c8ed-2694-99c6-ea2d-d194bbf0d10c_960x540.mp4
Derrick Favors,202324,NA,1626220,1628378,201144,202324,204060,LAC,Serge Ibaka,101150,201586,201587,201976,202695,2021-01-01,4,317,15-7 Average,5,-5,25,AtRim,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000077/570/b7cb9a39-8b80-fbda-a858-1aad9becbc5f_960x540.mp4
Derrick Favors,202324,NA,1626220,1628378,201144,202324,204060,LAC,NA,101150,201586,201587,201976,202695,2021-01-01,4,248,15-7 Average,7,12,142,LongMidRange,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000077/585/936e6319-eb03-2c3d-3598-25ff694525dc_960x540.mp4
Rudy Gobert,203497,Joe Ingles,1626220,1628378,201144,203497,204060,LAC,NA,201586,201587,201976,202331,202695,2021-01-01,4,177,15-7 Average,1,1,20,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000077/601/f2a81a88-32ad-d0ca-4905-eded114de0c1_960x540.mp4
Rudy Gobert,203497,Mike Conley,1626220,1628378,201144,203497,204060,LAC,NA,201586,201587,201976,202331,202695,2021-01-01,4,77,15-7 Average,6,-8,20,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,TRUE,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000077/616/0663d857-93e1-517c-32d7-e68786382192_960x540.mp4
Rudy Gobert,203497,NA,1626220,1628378,201144,202711,203497,SAS,NA,1627749,1627751,1629022,1629640,201942,2021-01-03,1,669,15-7 Average,0,11,10,AtRim,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/03/0022000089/11/0495f496-3c06-5230-610a-1104dcbaf6e8_960x540.mp4
Donovan Mitchell,1628378,Mike Conley,1626220,1628378,201144,202711,203497,SAS,NA,1627749,1627751,1629022,1629640,201942,2021-01-03,1,643,15-7 Average,0,-106,246,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/03/0022000089/16/897dc08d-32c8-2db5-066b-c3696f586b42_960x540.mp4
Mike Conley,201144,NA,1626220,1628378,201144,202711,203497,SAS,NA,1627749,1627751,1629022,1629640,201942,2021-01-03,1,514,4-0 Very Late,7,171,188,Arc3,NA,FALSE,6+ Feet - Wide Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/03/0022000089/36/70a8b4f7-0939-5191-304a-e4bdf5d95426_960x540.mp4
Donovan Mitchell,1628378,Derrick Favors,1626220,1628378,202324,202711,204060,SAS,NA,1627749,1627751,1629022,1629640,201942,2021-01-03,1,318,15-7 Average,4,-49,258,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/03/0022000089/75/d598087c-9dd0-4e28-0f88-386e2c1ccdc9_960x540.mp4
Rudy Gobert,203497,NA,1626220,201144,203497,203903,204060,SAS,NA,1626168,1630170,200752,201942,201988,2021-01-03,1,142,15-7 Average,4,-3,-10,AtRim,NA,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/03/0022000089/125/8c74691d-23ae-bb75-45a4-de7c7630daac_960x540.mp4
Mike Conley,201144,NA,1627777,201144,203497,203903,204060,SAS,NA,1626168,1629640,1630170,200752,201988,2021-01-03,1,3,4-0 Very Late,10,25,258,Arc3,NA,FALSE,6+ Feet - Wide Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/03/0022000089/152/ef1e3c19-9ada-0078-3e75-a18011059824_960x540.mp4
Mike Conley,201144,NA,1627777,201144,202711,203497,203903,SAS,NA,1627749,1627751,1629022,1629640,1630170,2021-01-03,2,414,15-7 Average,18,5,58,ShortMidRange,NA,FALSE,NA,Touch 6+ Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/03/0022000089/205/ee879d30-da7d-20bf-8ec3-37d5b1f2e061_960x540.mp4
Mike Conley,201144,NA,1626220,1628378,201144,203497,204060,SAS,Rudy Gay,1627749,1627751,200752,201942,201988,2021-01-03,2,152,15-7 Average,12,-7,55,ShortMidRange,NA,FALSE,NA,Touch 6+ Seconds,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/03/0022000089/285/f56aa605-94de-6ed9-4b63-08346a7ecf3c_960x540.mp4
Donovan Mitchell,1628378,NA,1626220,1628378,201144,202711,203497,BKN,NA,1627752,1628386,1628971,201145,202681,2021-01-05,1,661,7-4 Late,0,-7,11,AtRim,NA,FALSE,4-6 Feet - Open,Touch 6+ Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/05/0022000102/11/313ab629-0e1a-4f9c-e00d-a73e52d90fb6_960x540.mp4
Bojan Bogdanovic,202711,NA,1626220,1628378,201144,202711,203497,BKN,NA,1627752,1628386,1628971,201145,202681,2021-01-05,1,558,15-7 Average,-5,-5,113,ShortMidRange,NA,FALSE,NA,NA,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/05/0022000102/27/53628d92-d1e2-dfa2-8399-05b6ab34f4ac_960x540.mp4
Donovan Mitchell,1628378,NA,1626220,1628378,201144,202711,203497,BKN,NA,1627752,1628386,1628971,201145,202681,2021-01-05,1,459,7-4 Late,-7,-12,195,LongMidRange,NA,FALSE,4-6 Feet - Open,Touch 6+ Seconds,NA,2,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/05/0022000102/42/b5a88c5f-44f0-d6ae-1993-292c939a3440_960x540.mp4
Bojan Bogdanovic,202711,NA,1626220,1628378,201144,202711,203497,BKN,Taurean Prince,1627752,1628386,1628971,201145,202681,2021-01-05,1,402,15-7 Average,-12,-14,7,AtRim,NA,FALSE,NA,NA,NA,2,FALSE,TRUE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/05/0022000102/49/2afd7c21-e526-688d-2266-410a72e56a4d_960x540.mp4
Royce O'Neale,1626220,Donovan Mitchell,1626220,1628378,201144,203497,204060,BKN,NA,1627752,1628386,1628971,201145,202681,2021-01-05,2,224,15-7 Average,-26,-112,242,Arc3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/05/0022000102/262/76b1d8c9-b831-2a71-2255-d659becb4ba0_960x540.mp4
Royce O'Neale,1626220,Donovan Mitchell,1626220,1628378,201144,203497,204060,BKN,NA,1627752,1628386,1628971,201145,202681,2021-01-05,2,179,15-7 Average,-23,-229,8,Corner3,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,3,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/05/0022000102/272/b3631b4f-8d37-84e5-ec4c-9b7e5e68dcfd_960x540.mp4
Donovan Mitchell,1628378,NA,1626220,1628378,201144,202711,203497,BKN,NA,1627752,1628386,1628971,201145,202681,2021-01-05,3,688,15-7 Average,-19,199,146,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/05/0022000102/326/f9c26f78-9cf1-9b65-5985-fd6deebe7d4b_960x540.mp4
Donovan Mitchell,1628378,NA,1626220,1628378,202324,202711,204060,BKN,NA,1627752,1628386,1628971,201145,202681,2021-01-05,3,316,15-7 Average,-21,73,241,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/05/0022000102/412/d67c8be3-e6ed-c7d3-4b73-7190a8a8c425_960x540.mp4
Donovan Mitchell,1628378,NA,1626220,1628378,201144,202711,203497,NYK,NA,1629011,1629628,203493,203901,203944,2021-01-06,1,546,15-7 Average,-2,102,235,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/06/0022000112/33/038e8f0e-65f5-b856-455d-b63d8c0b7ad0_960x540.mp4
Donovan Mitchell,1628378,NA,1626220,1628378,201144,202711,203497,NYK,NA,1629011,1629628,203493,203901,203944,2021-01-06,1,517,15-7 Average,-4,-188,154,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/06/0022000112/37/dde98d85-db66-6eb9-3e65-f4accc2063a5_960x540.mp4
Mike Conley,201144,NA,1626220,1628378,201144,202711,203497,NYK,NA,1629011,1629628,203493,203901,203944,2021-01-06,3,593,18-15 Early,10,220,19,Corner3,NA,FALSE,4-6 Feet - Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/06/0022000112/327/efab2b8b-00e1-169d-a017-27f33141934a_960x540.mp4
Bojan Bogdanovic,202711,NA,1626220,1628378,201144,202711,203497,NYK,NA,1629011,1629628,203493,203901,203944,2021-01-06,3,544,18-15 Early,8,-6,260,Arc3,NA,FALSE,4-6 Feet - Open,Touch < 2 Seconds,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/06/0022000112/336/cecaff4e-56cc-2096-1ef1-6d0113a1e906_960x540.mp4
Joe Ingles,204060,NA,1626220,1628378,202711,203497,204060,NYK,NA,1629011,1629628,203493,203901,203944,2021-01-06,3,380,15-7 Average,4,38,252,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/06/0022000112/371/468ff47a-36c9-c3fa-fcf3-08571c509719_960x540.mp4
Joe Ingles,204060,NA,1626220,1628378,202711,203497,204060,NYK,NA,1629011,1629628,203493,203901,203944,2021-01-06,3,342,15-7 Average,4,-238,50,Corner3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/06/0022000112/376/4b9c3e8e-a2ad-5b09-38a7-c05dc62ee292_960x540.mp4
Bojan Bogdanovic,202711,NA,1626220,1628378,202711,203497,204060,NYK,NA,1629011,1629628,203493,203901,203944,2021-01-06,3,274,18-15 Early,8,228,56,Corner3,NA,FALSE,4-6 Feet - Open,Touch < 2 Seconds,NA,3,FALSE,FALSE,FALSE,NA
Mike Conley,201144,NA,1627777,201144,202324,203903,204060,NYK,NA,1628995,1629628,203085,203901,203944,2021-01-06,3,41,18-15 Early,3,56,250,Arc3,NA,FALSE,4-6 Feet - Open,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/06/0022000112/440/2eed59f3-41a8-a790-77f6-62b7bdfe6966_960x540.mp4
Mike Conley,201144,NA,1626220,1628378,201144,203497,204060,NYK,NA,1629011,203085,203493,203901,203944,2021-01-06,4,94,15-7 Average,-9,33,261,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/06/0022000112/568/7698bdb6-01d8-98ae-ec3b-fdb400a59745_960x540.mp4
Mike Conley,201144,NA,1628378,201144,203497,203903,204060,NYK,NA,1629011,203085,203493,203901,203944,2021-01-06,4,19,15-7 Average,-12,125,243,Arc3,NA,FALSE,NA,NA,NA,3,FALSE,FALSE,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/06/0022000112/597/293df4a5-9c1e-06ff-cef5-a70174e405fa_960x540.mp4
Rudy Gobert,203497,Donovan Mitchell,1626220,1628378,201144,202711,203497,MIL,NA,1628978,201572,201950,203114,203507,2021-01-08,3,664,15-7 Average,10,-5,10,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/08/0022000129/354/cada5b3d-9e98-acee-eb2e-a961556cf963_960x540.mp4
Rudy Gobert,203497,Mike Conley,1626220,1628378,201144,202711,203497,MIL,NA,1628978,201572,201950,203114,203507,2021-01-08,3,418,15-7 Average,4,3,0,AtRim,TRUE,FALSE,NA,Touch < 2 Seconds,0 Dribbles,2,TRUE,NA,FALSE,https://videos.nba.com/nba/pbp/media/2021/01/08/0022000129/418/a212681d-85b1-5328-30b6-518fa9b98cba_960x540.mp4
